model,model_family,strategy,calibration_method,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3610193487494101,0.20542427497314716,0.2618517884648297,0.24,41049,1354,2959,765
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.36587820835430296,0.1952201933404941,0.2545963929259324,0.25,41143,1260,2997,727
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3687299893276414,0.1855531686358754,0.24687388352983208,0.26,41220,1183,3033,691
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.37231638418079094,0.17696025778732546,0.23989807062249727,0.27,41292,1111,3065,659
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3801452784503632,0.1686358754027927,0.23363095238095238,0.28,41379,1024,3096,628
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3838319541693189,0.16192266380236306,0.22776203966005665,0.29,41435,968,3121,603
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.38859060402684564,0.1554779806659506,0.22209436133486765,0.3,41492,911,3145,579
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.39490445859872614,0.1498388829215897,0.21724742067354488,0.31,41548,855,3166,558
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.40015071590052753,0.14258861439312567,0.2102553949712928,0.32,41607,796,3193,531
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.4096,0.13748657357679914,0.20587052673904302,0.33,41665,738,3212,512
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.41624365482233505,0.13211600429645542,0.2005707297187118,0.34,41713,690,3232,492
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.41718889883616833,0.1251342642320086,0.19252220615575294,0.35,41752,651,3258,466
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.4145176695319962,0.11654135338345864,0.18193250890798573,0.36,41790,613,3290,434
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.41289023162134947,0.11009667024704618,0.17383930464278144,0.37,41820,583,3314,410
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.4183350895679663,0.10660580021482277,0.16991226193023753,0.38,41851,552,3327,397
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.4230769230769231,0.10338345864661654,0.1661631419939577,0.39,41878,525,3339,385
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.4282380396732789,0.0985499462943072,0.16022702466710326,0.4,41913,490,3357,367
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.43243243243243246,0.09452201933404941,0.15513442044953724,0.41,41941,462,3372,352
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.4392764857881137,0.09129967776584318,0.1511783014673188,0.42,41969,434,3384,340
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.44536652835408025,0.08646616541353383,0.14481673038003148,0.43,42002,401,3402,322
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.44883040935672514,0.08243823845327605,0.13929219600725953,0.44,42026,377,3417,307
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.45709828393135726,0.07867883995703545,0.13424971363115693,0.45,42055,348,3431,293
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.46469622331691296,0.07599355531686358,0.13062543272559426,0.46,42077,326,3441,283
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.47368421052631576,0.07491944146079485,0.1293763041966149,0.47,42093,310,3445,279
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.4750889679715303,0.07169709989258861,0.1245916938870742,0.48,42108,295,3457,267
